Date,Open,High,Low,Close,Volume,AdjClose
2/3/2011,587.27,589.89,583.73,589.1,4370990000,589.1
2/2/2011,589.1,589.19,587.25,587.78,4098260000,587.78
2/1/2011,580.52,590.15,580.52,589.54,5164500000,589.54
1/31/2011,575.71,579.52,575.27,579.23,4167160000,579.23
1/28/2011,585.63,586.98,575.12,575.64,5618630000,575.64
1/27/2011,585.31,586.53,583.6,585.72,4309190000,585.72
1/26/2011,583.63,586.47,583.48,584.88,4730980000,584.88
1/25/2011,581.75,583.35,578.67,583.3,4595380000,583.3
1/24/2011,579.44,583.29,579.3,582.96,3902470000,582.96
1/21/2011,579.33,582.59,579.02,579.55,4935320000,579.55
1/20/2011,577.03,578.83,573.31,577.47,4935320000,577.47
1/19/2011,582.52,582.57,576.03,577.47,4743710000,577.47
1/18/2011,582.35,583.04,580.31,582.34,5284990000,582.34
1/14/2011,577.58,582.32,576.7,582.32,4661590000,582.32
1/13/2011,579.12,579.17,576.16,577.74,4310840000,577.74
1/12/2011,574.28,579.52,574.28,579.17,4226940000,579.17
1/11/2011,573.3,575.16,571.65,573.84,4050750000,573.84
1/10/2011,573.17,573.17,569.4,572.1,4036450000,572.1
1/7/2011,574.84,575.81,569.09,573.38,4963110000,573.38
1/6/2011,575.73,576.54,572.99,574.73,4844100000,574.73
1/5/2011,572.84,576.63,571.13,576,4764920000,576
1/4/2011,572.87,573.58,569.81,573.23,4796420000,573.23
1/3/2011,565.89,574.02,565.89,572.23,4286670000,572.23
12/31/2010,565.12,566.49,564,565.9,1799770000,565.9
12/30/2010,566.63,567.17,564.78,565.62,1970720000,565.62
12/29/2010,566.66,568.25,566.66,566.78,2214380000,566.78
12/28/2010,566.38,567.27,565.58,566.5,2478450000,566.5
12/27/2010,564.73,566.09,563.25,565.65,1992470000,565.65
12/23/2010,565.38,566.02,564.14,565.43,2515020000,565.43
12/22/2010,563.82,566.16,563.82,565.96,1285590000,565.96
12/21/2010,561.47,564.34,561.47,563.69,3479670000,563.69
12/20/2010,560.28,562.23,558.38,560.54,3548140000,560.54
12/17/2010,559.89,560.28,557.75,559.49,4632470000,559.49
12/16/2010,556.75,559.79,555.3,559.4,4736820000,559.4
12/15/2010,558.64,559.75,555.53,556.23,4407340000,556.23
12/14/2010,558.46,560.79,557.09,558.64,4132350000,558.64
12/13/2010,558.25,560.66,557.74,557.81,4361240000,557.81
12/10/2010,554.16,557.27,553.78,557.27,4547310000,557.27
12/9/2010,552.28,554.33,551.01,553.94,4522510000,553.94
12/8/2010,549.41,551.73,547.41,551.56,4607590000,551.56
12/7/2010,549.92,553.57,548.59,548.78,6970630400,548.78
12/6/2010,548.71,549.62,547.52,548.31,3527370000,548.31
12/3/2010,546.84,549.11,545.36,548.82,3735780000,548.82
12/2/2010,541.62,547.91,541.62,547.52,4970800000,547.52
12/1/2010,532.43,541.97,532.43,541.2,4548110000,541.2
11/30/2010,531.3,532.92,527.41,529.73,4284700000,529.73
11/29/2010,533.41,534.62,527.01,533.43,3673450000,533.43
11/26/2010,536.19,536.19,532.66,533.59,1613820000,533.59
11/24/2010,531.76,537.96,531.76,537.8,3384250000,537.8
