Date,Open,High,Low,Close,Volume,Adj Close
2001-07-30,511.09,517.03,506.92,511.95,000,511.95
2001-07-23,510.37,512.68,492.60,511.09,000,511.09
2001-07-16,509.57,513.67,500.49,510.37,000,510.37
2001-07-09,503.73,511.06,490.97,509.57,000,509.57
2001-07-02,519.12,519.18,502.21,503.73,000,503.73
2001-06-25,506.09,519.96,498.82,519.12,000,519.12
2001-06-18,509.25,514.20,502.94,506.09,000,506.09
2001-06-11,531.61,531.61,504.39,509.25,000,509.25
2001-06-04,526.94,540.78,526.94,531.61,000,531.61
2001-05-29,533.01,533.01,514.92,526.94,000,526.94
2001-05-21,532.02,547.51,529.34,533.01,000,533.01
2001-05-14,508.71,532.83,505.17,532.02,000,532.02
2001-05-07,517.17,519.01,507.84,508.71,000,508.71
2001-04-30,506.86,517.17,499.22,517.17,000,517.17
2001-04-23,493.38,506.86,481.87,506.86,000,506.86
2001-04-16,474.98,497.79,467.96,493.38,000,493.38
2001-04-09,447.44,475.47,447.44,474.98,000,474.98
2001-04-02,459.92,461.30,432.38,447.44,000,447.44
2001-03-26,457.95,468.52,453.74,459.92,000,459.92
2001-03-19,460.07,475.33,433.44,457.95,000,457.95
2001-03-12,496.78,496.78,459.88,460.07,000,460.07
2001-03-05,499.96,511.03,496.48,496.78,000,496.78
2001-02-26,498.26,510.66,485.91,499.96,000,499.96
2001-02-20,519.23,520.75,486.77,498.26,000,498.26
2001-02-12,519.95,530.78,516.17,519.23,000,519.23
2001-02-05,518.29,529.61,516.51,519.95,000,519.95
2001-01-29,519.01,533.82,517.86,518.29,000,518.29
2001-01-22,504.35,524.60,502.62,519.01,000,519.01
2001-01-16,507.83,515.84,503.42,504.35,000,504.35
2001-01-08,489.37,511.00,481.34,507.83,000,507.83
2001-01-02,516.74,516.74,485.63,489.37,000,489.37
2000-12-26,501.32,528.53,501.08,516.74,000,516.74
2000-12-18,494.58,507.93,476.80,501.32,000,501.32
2000-12-11,527.93,535.34,488.67,494.58,000,494.58
2000-12-04,490.52,527.93,484.33,527.93,000,527.93
2000-11-27,501.40,508.23,471.17,490.52,000,490.52
2000-11-20,504.17,504.17,482.65,501.40,000,501.40
2000-11-13,502.03,515.36,482.77,504.17,000,504.17
2000-11-06,529.02,532.80,501.54,502.03,000,502.03
2000-10-30,503.81,531.17,501.31,529.02,000,529.02
2000-10-23,515.44,519.26,487.17,503.81,000,503.81
2000-10-16,501.26,516.86,476.72,515.44,000,515.44
2000-10-09,512.92,514.50,482.61,501.26,000,501.26
2000-10-02,538.81,540.65,510.67,512.92,000,512.92
2000-09-25,526.94,542.98,525.67,538.81,000,538.81
2000-09-18,541.17,542.13,514.90,526.94,000,526.94
2000-09-11,544.00,549.63,538.50,541.17,000,541.17
2000-09-05,548.60,548.68,538.11,544.00,000,544.00
2000-08-30,534.31,548.60,533.49,548.60,000,548.60
2000-08-21,523.31,531.67,520.46,531.29,000,531.29
2000-08-14,512.70,524.79,512.01,523.31,000,523.31
2000-08-07,505.23,514.99,502.51,512.70,000,512.70
2000-07-31,482.75,506.08,481.40,505.23,000,505.23
2000-07-24,504.23,506.12,480.18,482.75,000,482.75
2000-07-17,517.37,518.48,503.92,504.23,000,504.23
2000-07-10,497.41,517.55,497.41,517.37,000,517.37
2000-07-03,481.77,499.60,481.77,497.41,000,497.41
2000-06-26,488.82,494.79,481.77,481.77,000,481.77
2000-06-19,496.61,506.90,487.24,488.82,000,488.82
2000-06-12,495.27,498.65,484.31,496.61,000,496.61
2000-06-05,502.22,505.18,489.08,495.27,000,495.27
2000-05-30,458.04,504.66,458.04,502.22,000,502.22
