DATE,TB3MS
02/01/1989,8.53
03/01/1989,8.82
04/01/1989,8.65
05/01/1989,8.43
06/01/1989,8.15
07/01/1989,7.88
08/01/1989,7.90
09/01/1989,7.75
10/01/1989,7.64
11/01/1989,7.69
12/01/1989,7.63
01/01/1990,7.64
02/01/1990,7.74
03/01/1990,7.90
04/01/1990,7.77
05/01/1990,7.74
06/01/1990,7.73
07/01/1990,7.62
08/01/1990,7.45
09/01/1990,7.36
10/01/1990,7.17
11/01/1990,7.06
12/01/1990,6.74
01/01/1991,6.22
02/01/1991,5.94
03/01/1991,5.91
04/01/1991,5.65
05/01/1991,5.46
06/01/1991,5.57
07/01/1991,5.58
08/01/1991,5.33
09/01/1991,5.22
10/01/1991,4.99
11/01/1991,4.56
12/01/1991,4.07
01/01/1992,3.80
02/01/1992,3.84
03/01/1992,4.04
04/01/1992,3.75
05/01/1992,3.63
06/01/1992,3.66
07/01/1992,3.21
08/01/1992,3.13
09/01/1992,2.91
10/01/1992,2.86
11/01/1992,3.13
12/01/1992,3.22
01/01/1993,3.00
02/01/1993,2.93
03/01/1993,2.95
04/01/1993,2.87
05/01/1993,2.96
06/01/1993,3.07
07/01/1993,3.04
08/01/1993,3.02
09/01/1993,2.95
10/01/1993,3.02
11/01/1993,3.10
12/01/1993,3.06
01/01/1994,2.98
02/01/1994,3.25
03/01/1994,3.50
04/01/1994,3.68
05/01/1994,4.14
06/01/1994,4.14
07/01/1994,4.33
08/01/1994,4.48
09/01/1994,4.62
10/01/1994,4.95
11/01/1994,5.29
12/01/1994,5.60
01/01/1995,5.71
02/01/1995,5.77
03/01/1995,5.73
04/01/1995,5.65
05/01/1995,5.67
06/01/1995,5.47
07/01/1995,5.42
08/01/1995,5.40
09/01/1995,5.28
10/01/1995,5.28
11/01/1995,5.36
12/01/1995,5.14
01/01/1996,5.00
02/01/1996,4.83
03/01/1996,4.96
04/01/1996,4.95
05/01/1996,5.02
06/01/1996,5.09
07/01/1996,5.15
08/01/1996,5.05
09/01/1996,5.09
10/01/1996,4.99
11/01/1996,5.03
12/01/1996,4.91
01/01/1997,5.03
02/01/1997,5.01
03/01/1997,5.14
04/01/1997,5.16
05/01/1997,5.05
06/01/1997,4.93
07/01/1997,5.05
08/01/1997,5.14
09/01/1997,4.95
10/01/1997,4.97
11/01/1997,5.14
12/01/1997,5.16
01/01/1998,5.04
02/01/1998,5.09
03/01/1998,5.03
04/01/1998,4.95
05/01/1998,5.00
06/01/1998,4.98
07/01/1998,4.96
08/01/1998,4.90
09/01/1998,4.61
10/01/1998,3.96
11/01/1998,4.41
12/01/1998,4.39
01/01/1999,4.34
02/01/1999,4.44
03/01/1999,4.44
04/01/1999,4.29
05/01/1999,4.50
06/01/1999,4.57
07/01/1999,4.55
08/01/1999,4.72
09/01/1999,4.68
10/01/1999,4.86
11/01/1999,5.07
12/01/1999,5.20
01/01/2000,5.32
02/01/2000,5.55
03/01/2000,5.69
04/01/2000,5.66
05/01/2000,5.79
06/01/2000,5.69
07/01/2000,5.96
08/01/2000,6.09
09/01/2000,6.00
10/01/2000,6.11
11/01/2000,6.17
12/01/2000,5.77
01/01/2001,5.15
02/01/2001,4.88
03/01/2001,4.42
04/01/2001,3.87
05/01/2001,3.62
06/01/2001,3.49
07/01/2001,3.51
08/01/2001,3.36
09/01/2001,2.64
10/01/2001,2.16
11/01/2001,1.87
12/01/2001,1.69
01/01/2002,1.65
02/01/2002,1.73
03/01/2002,1.79
04/01/2002,1.72
05/01/2002,1.73
06/01/2002,1.70
07/01/2002,1.68
08/01/2002,1.62
09/01/2002,1.63
10/01/2002,1.58
11/01/2002,1.23
12/01/2002,1.19
01/01/2003,1.17
02/01/2003,1.17
03/01/2003,1.13
04/01/2003,1.13
05/01/2003,1.07
06/01/2003,0.92
07/01/2003,0.90
08/01/2003,0.95
09/01/2003,0.94
10/01/2003,0.92
11/01/2003,0.93
12/01/2003,0.90
01/01/2004,0.88
02/01/2004,0.93
03/01/2004,0.94
04/01/2004,0.94
05/01/2004,1.02
06/01/2004,1.27
07/01/2004,1.33
08/01/2004,1.48
09/01/2004,1.65
10/01/2004,1.76
11/01/2004,2.07
12/01/2004,2.19
01/01/2005,2.33
02/01/2005,2.54
03/01/2005,2.74
04/01/2005,2.78
05/01/2005,2.84
06/01/2005,2.97
07/01/2005,3.22
08/01/2005,3.44
09/01/2005,3.42
10/01/2005,3.71
11/01/2005,3.88
12/01/2005,3.89
01/01/2006,4.24
02/01/2006,4.43
03/01/2006,4.51
04/01/2006,4.60
05/01/2006,4.72
06/01/2006,4.79
07/01/2006,4.95
08/01/2006,4.96
09/01/2006,4.81
10/01/2006,4.92
11/01/2006,4.94
12/01/2006,4.85
01/01/2007,4.98
02/01/2007,5.03
03/01/2007,4.94
04/01/2007,4.87
05/01/2007,4.73
06/01/2007,4.61
07/01/2007,4.82
08/01/2007,4.20
09/01/2007,3.89
10/01/2007,3.90
11/01/2007,3.27
12/01/2007,3.00
01/01/2008,2.75
02/01/2008,2.12
03/01/2008,1.26
04/01/2008,1.29
05/01/2008,1.73
06/01/2008,1.86
07/01/2008,1.63
08/01/2008,1.72
09/01/2008,1.13
10/01/2008,0.67
11/01/2008,0.19
12/01/2008,0.03
01/01/2009,0.13
02/01/2009,0.30
03/01/2009,0.21
04/01/2009,0.16
05/01/2009,0.18
06/01/2009,0.18
07/01/2009,0.18
08/01/2009,0.17
09/01/2009,0.12
10/01/2009,0.07
11/01/2009,0.05
12/01/2009,0.05
01/01/2010,0.06
02/01/2010,0.11
03/01/2010,0.15
04/01/2010,0.16
05/01/2010,0.16
06/01/2010,0.12
07/01/2010,0.16
08/01/2010,0.16
09/01/2010,0.15
10/01/2010,0.13
11/01/2010,0.14
12/01/2010,0.14
01/01/2011,0.15
02/01/2011,0.13
03/01/2011,0.10
04/01/2011,0.06
05/01/2011,0.04
06/01/2011,0.04
07/01/2011,0.04
08/01/2011,0.02
09/01/2011,0.01
10/01/2011,0.02
11/01/2011,0.01
12/01/2011,0.01
01/01/2012,0.03
02/01/2012,0.09
03/01/2012,0.08
04/01/2012,0.08
05/01/2012,0.09
06/01/2012,0.09
07/01/2012,0.10
08/01/2012,0.10
09/01/2012,0.11
10/01/2012,0.10
11/01/2012,0.09
12/01/2012,0.07
01/01/2013,0.07
02/01/2013,0.10
03/01/2013,0.09
04/01/2013,0.06
05/01/2013,0.04
06/01/2013,0.05
07/01/2013,0.04
08/01/2013,0.04
09/01/2013,0.02
10/01/2013,0.05
11/01/2013,0.07
12/01/2013,0.07
01/01/2014,0.04
